id,examResultQuestionId,answerId,answerValue,isCorrect,createdAt
01KCXK1Q2V5R7WDHQDKCDRAK9K,01KCXK1Q2TH70F3N3107YZX7EX,01KCXGG0TY0001H0Q1FW2PMNMR,will be sent,True,2025-12-01T09:00:00Z
01KCXK1Q2W5TFG1M6Q9KB0EEQZ,01KCXK1Q2VY9FJC4TZ2494BEFJ,01KCXGG0TY0001H0Q1FW2PTK38,at,True,2025-12-01T09:00:00Z
01KCXK1Q2XJB3YDW53Z795QQGG,01KCXK1Q2WX6Y4X1J25Q7ZJVD8,01KCXGG0TY0001H0Q1FW2PZT30,effective,True,2025-12-01T09:00:00Z
01KCXK1Q2YNJQTVQ6WB428VFMY,01KCXK1Q2XD8TV1MB3ZVVKQK61,01KCXGG0TZ0001H0Q1FW2Q81RG,however,False,2025-12-01T09:00:00Z
01KCXK1Q2YESM9GB8VXEQK0CFB,01KCXK1Q2Y6MEVKPYB3B1KY9DC,01KCXGG0TZ0001H0Q1FW2QAQPG,submitted,True,2025-12-01T09:00:00Z
01KCXK1Q2Z2MATACZD95HGSE38,01KCXK1Q2YY71FV3CMKD0HE6DG,01KCXGG0TZ0001H0Q1FW2QFWQR,information,True,2025-12-01T09:00:00Z
01KCXK1Q2ZCMBCPFR9YQ17ZH4T,01KCXK1Q2ZVHCY9EB6387YX7PZ,01KCXGG0TZ0001H0Q1FW2QN2R8,will explain,True,2025-12-01T09:00:00Z
01KCXK1Q30H5FA6DP4KYVQDBCC,01KCXK1Q2Z4XDPHXSXTQZJPEXK,01KCXGG0TZ0001H0Q1FW2QTHJ0,patience,True,2025-12-01T09:00:00Z
01KCXK1Q30WHFW3HTW3WPJ0TCT,01KCXK1Q30Z56VMNKBAXGHXE24,01KCXGG0V00001H0Q1FW2QZXE0,ships,True,2025-12-01T09:00:00Z
01KCXK1Q31HNATN2ZYX6WYD1K5,01KCXK1Q30PQ5XKCSBDVPQ5G8J,01KCXGG0V00001H0Q1FW2R7KH0,have verified,False,2025-12-01T09:00:00Z
01KCXK1Q323C07P8ZP8YAB7ASJ,01KCXK1Q31SKY0041PZ0MWYFGF,01KCXGG0V00001H0Q1FW2RA6H8,an initiative,True,2025-12-01T09:00:00Z
01KCXK1Q33EK164DQVBBN30E6G,01KCXK1Q3249CBCKF47YP2WR5E,01KCXGG0V00001H0Q1FW2RGHN8,whose,False,2025-12-01T09:00:00Z
01KCXK1Q33VG77PJD438B4BW1Q,01KCXK1Q332KFY3XHECC3BQ99Y,01KCXGG0V00001H0Q1FW2RMBQG,fill out,True,2025-12-01T09:00:00Z
01KCXK1Q34ZPWDS0RF46RN78CT,01KCXK1Q337HXTGT46HRSBRR7A,01KCXGG0V00001H0Q1FW2RSPM8,corrected,True,2025-12-01T09:00:00Z
01KCXK1Q349WH447GCD9FT4Y6P,01KCXK1Q346XK6RPT742G74ARZ,01KCXGG0V10001H0Q1FW2RYTP8,clearly,True,2025-12-01T09:00:00Z
01KCXK1Q35CHV2JZPZFQH58PYS,01KCXK1Q3490RTGPW8C3NWM347,01KCXGG0V10001H0Q1FW2S3YR8,due to,True,2025-12-01T09:00:00Z
01KCXK1Q36FD1PE1D5PXDJFBK9,01KCXK1Q35QTDSVEQX10S6P5Q7,01KCXGG0V10001H0Q1FW2SCZT8,efficiencies,False,2025-12-01T09:00:00Z
01KCXK1Q36KJ4YHA3WA6A8WY7M,01KCXK1Q36JGZ6DR4V4HDG6MQH,01KCXGG0V10001H0Q1FW2SE8TR,the,True,2025-12-01T09:00:00Z
01KCXK1Q36Z6HJG67BW3NTS0YH,01KCXK1Q36FHBNFQ7MRQT15C18,01KCXGG0V10001H0Q1FW2SKQMG,must,True,2025-12-01T09:00:00Z
01KCXK1Q37RZZM3TBF0A123VJH,01KCXK1Q36A7GC9XRKKQCQTG69,01KCXGG0V10001H0Q1FW2ST4Q0,otherwise,False,2025-12-01T09:00:00Z
01KCXK1Q3894D305EF1V2KCCX1,01KCXK1Q374YCG8W3XXR2NK4JD,01KCXGG0VY0001H0Q1FW3NH8D8,Assets = Liabilities + Equity,True,2025-12-01T09:00:00Z
01KCXK1Q39Z0FJ8S940AJ293DY,01KCXK1Q38PCHJ8ZPRSYSKDZXC,01KCXGG0VZ0001H0Q1FW3NP9HG,Liability,False,2025-12-01T09:00:00Z
01KCXK1Q39DGB20Q8XVBHJAN8A,01KCXK1Q39XYHCNV54KGTNAJCC,01KCXGG0VZ0001H0Q1FW3NWFS8,Allocate cost over time,True,2025-12-01T09:00:00Z
01KCXK1Q3ATGQ4EB3MD5B35SS7,01KCXK1Q39CW8CQZEH9WQ4P7W6,01KCXGG0VZ0001H0Q1FW3P3V4G,Trial balance,False,2025-12-01T09:00:00Z
01KCXK1Q3A8V60HAVTSE1MJKRW,01KCXK1Q3AFMTV82ZM4N75CK38,01KCXGG0VZ0001H0Q1FW3P698G,Money owed by customers,True,2025-12-01T09:00:00Z
01KCXK1Q3BZ087TQ94FFVDKD2P,01KCXK1Q3BHMENPPCQ60PZBWNT,01KCXGG0VZ0001H0Q1FW3PB4H8,Long-term loan,False,2025-12-01T09:00:00Z
01KCXK1Q3CNDJNGVPGE6RQ5TRB,01KCXK1Q3B6C07S5HBAVKGY2T1,01KCXGG0W00001H0Q1FW3PG6MR,Earned,True,2025-12-01T09:00:00Z
01KCXK1Q3CPQCD6FN7K39K1KDJ,01KCXK1Q3C1Z49E8CY179D988K,01KCXGG0W00001H0Q1FW3PPKQ8,Revenue − COGS,True,2025-12-01T09:00:00Z
01KCXK1Q3DSDF8FX1XH1HSXS4Q,01KCXK1Q3CB3G8KNNF4VY1NK8Z,01KCXGG0W00001H0Q1FW3PWQ18,Revenue,True,2025-12-01T09:00:00Z
01KCXK1Q3D0HJQDFQMGBCD4BKE,01KCXK1Q3DVW6MZ4V4ZGSW1G8T,01KCXGG0W00001H0Q1FW3Q0C78,Accuracy and fairness,True,2025-12-01T09:00:00Z
01KCXK1Q3E906A3YXQABWQ40J1,01KCXK1Q3DX9FC4QDWMDAT8V5E,01KCXGG0W00001H0Q1FW3Q41D8,Assets = Liabilities + Equity,True,2025-12-01T09:00:00Z
01KCXK1Q3E1SN9DGSR8M43ZKJM,01KCXK1Q3EZRFNVQ3Z96F2MVV6,01KCXGG0W00001H0Q1FW3QCQQG,Asset,True,2025-12-01T09:00:00Z
01KCXK1Q3E8M3X7AVDQJEBS7AJ,01KCXK1Q3E9SM8ZNGZBAXE43T6,01KCXGG0W10001H0Q1FW3QF5VG,Allocate cost over time,True,2025-12-01T09:00:00Z
01KCXK1Q3FYT9QC4YDJTNNT11S,01KCXK1Q3F1CJJ34JRVB7GBR0K,01KCXGG0W10001H0Q1FW3QP8DG,Balance sheet,True,2025-12-01T09:00:00Z
01KCXK1Q3GC94Y2Y8DA05JY27R,01KCXK1Q3FAYHW12MKMHTFRKPQ,01KCXGG0W10001H0Q1FW3QSYJR,Money owed by customers,True,2025-12-01T09:00:00Z
01KCXK1Q3GKG2FGBDHYPD8QCVA,01KCXK1Q3GJ00F6QSNDWZZZ6YE,01KCXGG0W10001H0Q1FW3R03V8,Inventory,True,2025-12-01T09:00:00Z
01KCXK1Q3GWJE3RCEAA5ZZY4MB,01KCXK1Q3GJMQRA5HZ2QRTPJ1G,01KCXGG0W10001H0Q1FW3R44R8,Earned,True,2025-12-01T09:00:00Z
01KCXK1Q3HP46A97QZYQH31VVA,01KCXK1Q3HP2TA5AV4NJT1HRXB,01KCXGG0W10001H0Q1FW3R9108,Revenue − COGS,True,2025-12-01T09:00:00Z
01KCXK1Q3J9J7FA01WR1DE63WQ,01KCXK1Q3H88V036TBXF7Y0PRR,01KCXGG0W20001H0Q1FW3RGAD0,Inventory,False,2025-12-01T09:00:00Z
01KCXK1Q3KSN607A2WJ48HXFR6,01KCXK1Q3J4CN0RR543DVSMQC3,01KCXGG0W20001H0Q1FW3RHHF0,Profitability,False,2025-12-01T09:00:00Z
01KCXK1Q3KTNPFJ4F18XSK8WAP,01KCXK1Q3K2TGSRTHS7SAWNKTA,01KCXGG0W20001H0Q1FW3RPSE0,Assets = Liabilities + Equity,True,2025-12-01T09:00:00Z
01KCXK1Q3MK8QECHGFQ095BMYS,01KCXK1Q3KFTFNY2YQ9DYMMYF2,01KCXGG0W20001H0Q1FW3RZTG0,Asset,True,2025-12-01T09:00:00Z
01KCXK1Q3MH4A63K9HDS6CPWXV,01KCXK1Q3MT4KV9AAHFH61JVHD,01KCXGG0W20001H0Q1FW3S2NA8,Allocate cost over time,True,2025-12-01T09:00:00Z
01KCXK1Q3MEXA7C8G4BE9KWPEW,01KCXK1Q3MWC1G2TP6T21CB851,01KCXGG0W20001H0Q1FW3S969R,Balance sheet,True,2025-12-01T09:00:00Z
01KCXK1Q3NSAA5KT3WQS1HYHMV,01KCXK1Q3NK8CS7EM4RASPM5XW,01KCXGG0W30001H0Q1FW3SDF0R,Money owed by customers,True,2025-12-01T09:00:00Z
01KCXK1Q3NFXAS4CFYY8929XCM,01KCXK1Q3NADCV7WWS7VQ41M0M,01KCXGG0W30001H0Q1FW3SKW38,Inventory,True,2025-12-01T09:00:00Z
01KCXK1Q3PHKV8JW1DQTY0VJ9M,01KCXK1Q3NNAG001913K42Z5B0,01KCXGG0W30001H0Q1FW3SQQ4R,Earned,True,2025-12-01T09:00:00Z
01KCXK1Q3PZGJD9VTXDG2GG340,01KCXK1Q3P7W0GEGHSR1SB5272,01KCXGG0W30001H0Q1FW3SWNB8,Revenue − COGS,True,2025-12-01T09:00:00Z
01KCXK1Q3QYK6PJHVZXDX73RKV,01KCXK1Q3PXY0D3M2XBAS5FRW5,01KCXGG0W30001H0Q1FW3T2PPR,Revenue,True,2025-12-01T09:00:00Z
01KCXK1Q3Q2VFERMMQVHG9G3MK,01KCXK1Q3QHXAM1S4PT8MJQCKC,01KCXGG0W30001H0Q1FW3T6BWR,Accuracy and fairness,True,2025-12-01T09:00:00Z
01KCXK1Q3S4699EP6B3B1PR3MM,01KCXK1Q3R8MFTANV89525AFNZ,01KCXGG0V30001H0Q1FW2TV5BG,4,False,2025-12-01T10:51:00Z
01KCXK1Q3SK26C7A6Y1R69MXRB,01KCXK1Q3SN7KN5N6T3PP0EC4G,01KCXGG0V30001H0Q1FW2V0R28,3,True,2025-12-01T10:51:00Z
01KCXK1Q3S1KZAXSEWC68QEAHV,01KCXK1Q3S7TQFJYPZKGD0M5M9,01KCXGG0V30001H0Q1FW2V68TG,bd,True,2025-12-01T10:51:00Z
01KCXK1Q3TEE396X7W4Q7XGAR8,01KCXK1Q3S5WFM2EN1GAKJ587K,01KCXGG0V30001H0Q1FW2VCRTR,4,True,2025-12-01T10:51:00Z
01KCXK1Q3V6P21EK0NZN178CBX,01KCXK1Q3T6YVA6AM2CD5BSXKC,01KCXGG0V30001H0Q1FW2VJ7MG,False True,False,2025-12-01T10:51:00Z
01KCXK1Q3W6D3DCVP07HZF980G,01KCXK1Q3VBTA9306V4V1CXT38,01KCXGG0V30001H0Q1FW2VP2P0,-2,False,2025-12-01T10:51:00Z
01KCXK1Q3WMH6WNNRP8QJ1BZEA,01KCXK1Q3WZQRSGEG4A19Y0EA4,01KCXGG0V40001H0Q1FW2VVCKG,(x − 2)(x − 3),True,2025-12-01T10:51:00Z
01KCXK1Q3X2ZKE0KSGE1BV3VPY,01KCXK1Q3WFK7BYTHYRP52W2Q9,01KCXGG0V40001H0Q1FW2VZFF0,All real numbers,False,2025-12-01T10:51:00Z
01KCXK1Q3YV1BWAZT5ESD24GY9,01KCXK1Q3X6CWJ4B9XBCR0F39T,01KCXGG0V40001H0Q1FW2W8DK8,9,False,2025-12-01T10:51:00Z
01KCXK1Q3Y7SHXH1ZHRPHPCWBJ,01KCXK1Q3YDV81DNSFMQ7FV8W2,01KCXGG0V40001H0Q1FW2WAZM8,Arithmetic sequence with common difference 3,True,2025-12-01T10:51:00Z
01KCXK1Q3ZZ5BJ38TPP3ZP1FQG,01KCXK1Q3YWKSZH6J431WQZE2P,01KCXGG0V40001H0Q1FW2WG6M0,"SELECT customer_id, COUNT(*) AS order_count FROM orders GROUP BY customer_id;",True,2025-12-01T10:51:00Z
01KCXK1Q3ZHPYN3YF12KJ3TNG9,01KCXK1Q3Z7461K0EJYWPZRVVD,01KCXGG0V40001H0Q1FW2WNNDR,LEFT JOIN,True,2025-12-01T10:51:00Z
01KCXK1Q3ZNAFXZX3KT3VC6Y3F,01KCXK1Q3ZSTQ3S0ZXZ3QZZFGB,01KCXGG0V50001H0Q1FW2WTZB8,WHERE order_date >= '2025-01-01',True,2025-12-01T10:51:00Z
01KCXK1Q40KQKKC9B0NY1KESZ6,01KCXK1Q402J1GNEA56VA1PGK9,01KCXGG0V50001H0Q1FW2X2MF0,COUNT(*) counts only distinct values,False,2025-12-01T10:51:00Z
01KCXK1Q4105XZCGQV24C2WCVP,01KCXK1Q41CTKVVGM3ED6ZJ0W2,01KCXGG0V50001H0Q1FW2X7PJG,SUM(amount) GROUP BY order_date,False,2025-12-01T10:51:00Z
01KCXK1Q42QDXF7DJG23F8DVMN,01KCXK1Q41QDMJ51G0T8EG4NXA,01KCXGG0V50001H0Q1FW2X8YKR,Line chart,False,2025-12-01T10:51:00Z
01KCXK1Q437DV6XHNYMKMKPEK7,01KCXK1Q42ZN795PEEAQAAK2FX,01KCXGG0V50001H0Q1FW2XFDMR,The bottom whisker,False,2025-12-01T10:51:00Z
01KCXK1Q44VDVYB674EAJYFS5J,01KCXK1Q437F9B01F0GG1QZ94E,01KCXGG0V50001H0Q1FW2XKDJG,There is no relationship between the variables,False,2025-12-01T10:51:00Z
01KCXK1Q46ZQPECNYPHQNA96CG,01KCXK1Q44VWFTKTCJ1JFDB6PC,01KCXGG0V60001H0Q1FW2XT6C0,Line chart,False,2025-12-01T10:51:00Z
01KCXK1Q47TYTPX4FN8S0FJDZ3,01KCXK1Q46T5968X7892DFY6JP,01KCXGG0V60001H0Q1FW2XY0E8,Use only red and green to emphasize differences,False,2025-12-01T10:51:00Z
01KCXK1Q48ECVAT5SSP3H5Q8J4,01KCXK1Q47WWBW2Z1WRCYSD7J1,01KCXGG0V30001H0Q1FW2TWN6R,6,True,2025-12-01T11:31:00Z
01KCXK1Q48SRF7302202C32ZGK,01KCXK1Q48MZE6JNYDAKY3NCF3,01KCXGG0V30001H0Q1FW2V0R28,3,True,2025-12-01T11:31:00Z
01KCXK1Q491HJY9KR6QRMAPZDX,01KCXK1Q49MTDQ138V4N3YYYWB,01KCXGG0V30001H0Q1FW2V4ZT0,ab,False,2025-12-01T11:31:00Z
01KCXK1Q4A8706AH1GDPB0GE3S,01KCXK1Q497DXAFN0J4EY7AP9X,01KCXGG0V30001H0Q1FW2VCRTR,4,True,2025-12-01T11:31:00Z
01KCXK1Q4AMR6CW0GBTEFGB35V,01KCXK1Q4A7Y2FAC231FCNFM0H,01KCXGG0V30001H0Q1FW2VGKW8,True False,True,2025-12-01T11:31:00Z
01KCXK1Q4BDYP5AKEMW9V2F6VW,01KCXK1Q4BGV5JN839SK1QQ51M,01KCXGG0V30001H0Q1FW2VRTJG,12,True,2025-12-01T11:31:00Z
01KCXK1Q4C3JVV148PGQ3JRJ0E,01KCXK1Q4B1J7PECKR6T3JT84J,01KCXGG0V40001H0Q1FW2VVCKG,(x − 2)(x − 3),True,2025-12-01T11:31:00Z
01KCXK1Q4DQ3T4TWHTHYCSW45Z,01KCXK1Q4CAKHVS6HJKFBVRF6V,01KCXGG0V40001H0Q1FW2W21G0,x ≥ 2,True,2025-12-01T11:31:00Z
01KCXK1Q4EGAQ5TMGQSA2KYHT8,01KCXK1Q4D9BD0PM9CKE9G2G12,01KCXGG0V40001H0Q1FW2W4KH0,-9,True,2025-12-01T11:31:00Z
01KCXK1Q4FS10DKFXCG3ED92J5,01KCXK1Q4EEEBCHP7ACXZSD1NQ,01KCXGG0V40001H0Q1FW2WC9M0,Geometric sequence with ratio 2,False,2025-12-01T11:31:00Z
01KCXK1Q4F1Y6VBSRJKKC5BA9C,01KCXK1Q4FKVTYQDBXCB9BZG1D,01KCXGG0V40001H0Q1FW2WG6M0,"SELECT customer_id, COUNT(*) AS order_count FROM orders GROUP BY customer_id;",True,2025-12-01T11:31:00Z
01KCXK1Q4GHTJQGP62W55A9VW5,01KCXK1Q4F80GD9N4BMVM2109R,01KCXGG0V40001H0Q1FW2WMCD8,INNER JOIN,False,2025-12-01T11:31:00Z
01KCXK1Q4HNKXC64PKZX4Q18W5,01KCXK1Q4GVCWAN8XZ9MBJWVXQ,01KCXGG0V50001H0Q1FW2WSPAR,WHERE order_date > '2025-01-01',False,2025-12-01T11:31:00Z
01KCXK1Q4J2FHGSE46775ZYRD5,01KCXK1Q4HQXDVQY7SREH8ZD80,01KCXGG0V50001H0Q1FW2X2MF0,COUNT(*) counts only distinct values,False,2025-12-01T11:31:00Z
01KCXK1Q4JZRKMP3BES82KQZ5H,01KCXK1Q4J79V897EBZBCGJZT2,01KCXGG0V50001H0Q1FW2X6DJ0,SUM(amount) OVER (ORDER BY order_date),True,2025-12-01T11:31:00Z
01KCXK1Q4KY3KBR0PHVTWN7E23,01KCXK1Q4K22FS0V5SGQ7VNH1J,01KCXGG0V50001H0Q1FW2XA8KG,Histogram,True,2025-12-01T11:31:00Z
01KCXK1Q4K3M3Z9WEG7JRRH2VJ,01KCXK1Q4K8QJ60Y8SY0PC8R41,01KCXGG0V50001H0Q1FW2XGVHG,The line inside the box,True,2025-12-01T11:31:00Z
01KCXK1Q4M5FWGBYYD501T6172,01KCXK1Q4KTYYCQXATRPJ3Q8NC,01KCXGG0V50001H0Q1FW2XNZKG,There is a positive correlation between the variables,True,2025-12-01T11:31:00Z
01KCXK1Q4MTJ3F4QPDCNBBMQ0D,01KCXK1Q4MDCBTKEVBHR44HZNE,01KCXGG0V60001H0Q1FW2XVFCG,Pie chart,True,2025-12-01T11:31:00Z
01KCXK1Q4N6H8A3Q454K71DR7R,01KCXK1Q4MYFR0P08XWTA3TR9W,01KCXGG0V60001H0Q1FW2Y0JF8,Use patterns or a colorblind-safe palette instead of only red and green,True,2025-12-01T11:31:00Z
01KCXK1Q4PQFFHVK0R91QEYACZ,01KCXK1Q4NRJEXTMFPFF8PP2BS,01KCXGG0V30001H0Q1FW2TWN6R,6,True,2025-12-01T13:33:00Z
01KCXK1Q4PTB4Q6AGGWJ2BEGGX,01KCXK1Q4P8PC1X79AF878458C,01KCXGG0V30001H0Q1FW2V0R28,3,True,2025-12-01T13:33:00Z
01KCXK1Q4P8HXGYQWBDWX8BRTQ,01KCXK1Q4PAGSMRQA0PT1H944X,01KCXGG0V30001H0Q1FW2V68TG,bd,True,2025-12-01T13:33:00Z
01KCXK1Q4Q3V06T21RC827E3X0,01KCXK1Q4P92QDVXKT7VHHG68K,01KCXGG0V30001H0Q1FW2VCRTR,4,True,2025-12-01T13:33:00Z
01KCXK1Q4Q62DHKVAD3ZKCH1GS,01KCXK1Q4QPHD00762DT8KBNKR,01KCXGG0V30001H0Q1FW2VGKW8,True False,True,2025-12-01T13:33:00Z
01KCXK1Q4RWD98KS94696D0THA,01KCXK1Q4QTD2JZQC28H9PF15S,01KCXGG0V30001H0Q1FW2VRTJG,12,True,2025-12-01T13:33:00Z
01KCXK1Q4RV2T4AJGJNPJ52B9R,01KCXK1Q4RMH8YZ78NNECS7EW8,01KCXGG0V40001H0Q1FW2VVCKG,(x − 2)(x − 3),True,2025-12-01T13:33:00Z
01KCXK1Q4RNDBQNFGHP748R8VP,01KCXK1Q4RB56D40S56DEX9HAS,01KCXGG0V40001H0Q1FW2W21G0,x ≥ 2,True,2025-12-01T13:33:00Z
01KCXK1Q4S7FX63T6TT9BVB2XG,01KCXK1Q4RH7B98WMPGWE1M2BA,01KCXGG0V40001H0Q1FW2W4KH0,-9,True,2025-12-01T13:33:00Z
01KCXK1Q4SP1T5ZMY16PCQW3ZN,01KCXK1Q4ST6EMS7DQJRE92BX6,01KCXGG0V40001H0Q1FW2WAZM8,Arithmetic sequence with common difference 3,True,2025-12-01T13:33:00Z
01KCXK1Q4T6H77DCRSC9Y94JAM,01KCXK1Q4SVCQMSJZP81Z7HVHE,01KCXGG0V40001H0Q1FW2WG6M0,"SELECT customer_id, COUNT(*) AS order_count FROM orders GROUP BY customer_id;",True,2025-12-01T13:33:00Z
01KCXK1Q4TKCRMS7QC93P384YA,01KCXK1Q4T80BVG6BMAV5Q4B86,01KCXGG0V40001H0Q1FW2WNNDR,LEFT JOIN,True,2025-12-01T13:33:00Z
01KCXK1Q4TMJA5X56ZTQ3M188T,01KCXK1Q4TFPWTV1Z3WP1XF6JH,01KCXGG0V50001H0Q1FW2WTZB8,WHERE order_date >= '2025-01-01',True,2025-12-01T13:33:00Z
01KCXK1Q4VR2WSQ1NFMG66MM5A,01KCXK1Q4T5QPQ8MFPSDKS7E5S,01KCXGG0V50001H0Q1FW2X1BEG,COUNT(*) counts all rows; COUNT(column_name) ignores NULLs,True,2025-12-01T13:33:00Z
01KCXK1Q4W4MQNZSNXT1RBMGS2,01KCXK1Q4VMA5WDJYEP73AS8FZ,01KCXGG0V50001H0Q1FW2X6DJ0,SUM(amount) OVER (ORDER BY order_date),True,2025-12-01T13:33:00Z
01KCXK1Q4WBSD9RE1C2X9BEDEQ,01KCXK1Q4WT3TZEQ40AHRQ7AXW,01KCXGG0V50001H0Q1FW2XA8KG,Histogram,True,2025-12-01T13:33:00Z
01KCXK1Q4WA7JNEAX05WGM6R85,01KCXK1Q4W56DJJQT9Q5BREEND,01KCXGG0V50001H0Q1FW2XGVHG,The line inside the box,True,2025-12-01T13:33:00Z
01KCXK1Q4X4PAJ3RKKHTS92V8J,01KCXK1Q4XV3ZD330WK2RGPVJC,01KCXGG0V50001H0Q1FW2XNZKG,There is a positive correlation between the variables,True,2025-12-01T13:33:00Z
01KCXK1Q4X6K0QWWN8QNRRVP3J,01KCXK1Q4XEB2TB03B8Q3KKKRS,01KCXGG0V60001H0Q1FW2XVFCG,Pie chart,True,2025-12-01T13:33:00Z
01KCXK1Q4Y7RV45DFX0FRTYKGY,01KCXK1Q4XCCV0S0NT84BCG7NB,01KCXGG0V60001H0Q1FW2Y0JF8,Use patterns or a colorblind-safe palette instead of only red and green,True,2025-12-01T13:33:00Z
01KCXK1Q4ZYAFP1MW8NW7Y7AFP,01KCXK1Q4YW0TSZ7S7YW29KJHY,01KCXGG0V70001H0Q1FW2YZSG0,"Site C, because it balances proximity, safety, and lack of clinics",True,2025-12-01T14:21:00Z
01KCXK1Q4ZQ6SCF8RYP0G0F22A,01KCXK1Q4ZC212BMC9YE35ZTF1,01KCXGG0V70001H0Q1FW2Z408G,The company often begins demolition work days before submitting the weekly report,True,2025-12-01T14:21:00Z
01KCXK1Q50V1XSEP5GDZQ8HDR9,01KCXK1Q4ZYRQXSSJ6E5JBCCE8,01KCXGG0V70001H0Q1FW2ZAF9G,"Mon: S, Tue: E, Wed: Y",True,2025-12-01T14:21:00Z
01KCXK1Q517RJXPNKENZYT9KFD,01KCXK1Q50YCCTAC7KKNZWYPQB,01KCXGG0V70001H0Q1FW2ZG208,Climate change will also increase cold waves in some regions,False,2025-12-01T14:21:00Z
01KCXK1Q51M45XPJKMM0F66J1T,01KCXK1Q51V3DYD0FZEB9B7B9C,01KCXGG0V70001H0Q1FW2ZJN0G,Electrify L1 and L2,True,2025-12-01T14:21:00Z
01KCXK1Q52034NM6BY9M0A7XKX,01KCXK1Q51N89VE9R3NZQW6DKK,01KCXGG0V80001H0Q1FW2ZSRHR,Mediterranean diets typically use more plant-based foods and less red meat than current diets in those cities,True,2025-12-01T14:21:00Z
01KCXK1Q52V9DBCHCRDAMJYGGS,01KCXK1Q521EGTZ2HBRAZDDK4Y,01KCXGG0V80001H0Q1FW302CXG,Both Project B and Project C,True,2025-12-01T14:21:00Z
